driverId raceId position
832 969 8
835 969 19
839 969 10
828 969 18
825 969 15
822 969 3
830 969 5
841 969 12
838 969 13
8 969 4
1 969 2
826 969 9
20 969 1
4 969 14
13 969 6
840 969 16
154 969 20
815 969 7
807 969 11
817 969 17
830 970 3
828 970 18
841 970 15
815 970 9
13 970 8
20 970 1
1 970 2
4 970 19
807 970 13
835 970 17
840 970 20
8 970 5
832 970 7
826 970 11
839 970 12
822 970 4
838 970 16
154 970 14
825 970 10
817 970 6
1 971 2
839 971 12
154 971 10
826 971 14
835 971 17
832 971 9
8 971 4
840 971 21
807 971 13
4 971 19
817 971 6
836 971 15
13 971 7
841 971 16
20 971 1
815 971 8
828 971 20
838 971 18
822 971 3
825 971 11
830 971 5
840 972 16
832 972 9
4 972 20
154 972 12
830 972 5
817 972 6
807 972 11
20 972 1
8 972 4
836 972 15
815 972 7
835 972 18
828 972 21
841 972 17
1 972 2
826 972 14
839 972 10
822 972 3
838 972 19
825 972 13
13 972 8
1 973 2
838 973 21
839 973 8
832 973 10
8 973 4
835 973 20
826 973 15
825 973 14
822 973 3
841 973 19
4 973 18
840 973 17
836 973 13
830 973 6
828 973 16
20 973 1
154 973 12
815 973 7
13 973 9
817 973 5
807 973 11
154 974 12
828 974 17
838 974 21
13 974 9
836 974 14
822 974 3
832 974 8
817 974 5
4 974 19
18 974 22
815 974 7
841 974 20
835 974 16
825 974 13
807 974 11
1 974 2
840 974 18
839 974 10
20 974 1
830 974 6
826 974 15
8 974 4
4 975 19
154 975 12
825 975 13
18 975 22
822 975 3
815 975 7
13 975 10
20 975 1
838 975 21
826 975 15
830 975 6
817 975 5
840 975 16
1 975 2
836 975 14
832 975 9
835 975 17
841 975 20
828 975 18
807 975 11
839 975 8
8 975 4
828 976 19
18 976 22
815 976 7
817 976 4
830 976 6
841 976 21
836 976 15
822 976 3
807 976 11
838 976 20
20 976 1
839 976 8
832 976 9
825 976 13
4 976 17
835 976 18
826 976 16
154 976 14
8 976 5
1 976 2
840 976 12
13 976 10
8 977 5
832 977 9
18 977 22
841 977 21
839 977 8
828 977 19
817 977 4
825 977 14
836 977 15
830 977 7
154 977 13
840 977 11
4 977 17
822 977 3
835 977 18
826 977 16
13 977 10
815 977 6
807 977 12
20 977 1
838 977 20
1 977 2
825 978 14
835 978 18
817 978 4
840 978 12
815 978 7
154 978 13
18 978 22
8 978 5
839 978 8
4 978 17
1 978 2
826 978 16
13 978 11
20 978 1
807 978 10
838 978 20
822 978 3
830 978 6
841 978 21
828 978 19
836 978 15
832 978 9
807 979 10
814 979 23
817 979 4
825 979 14
840 979 12
830 979 6
826 979 17
815 979 7
20 979 1
1 979 2
839 979 8
8 979 5
836 979 16
835 979 19
18 979 22
4 979 15
828 979 20
841 979 21
154 979 13
13 979 11
832 979 9
838 979 18
822 979 3
832 980 9
825 980 14
830 980 6
154 980 12
815 980 7
822 980 3
814 980 23
8 980 5
4 980 15
1 980 2
835 980 19
841 980 21
20 980 1
13 980 11
817 980 4
828 980 20
18 980 22
838 980 18
826 980 17
807 980 10
839 980 8
840 980 13
836 980 16
832 981 9
830 981 6
814 981 23
1 981 1
13 981 11
839 981 8
828 981 20
817 981 4
836 981 16
8 981 5
838 981 18
154 981 13
841 981 21
835 981 19
18 981 22
807 981 10
815 981 7
20 981 2
840 981 12
822 981 3
4 981 15
826 981 17
825 981 14
822 982 3
826 982 19
815 982 7
1 982 1
13 982 11
817 982 4
841 982 21
828 982 20
839 982 8
154 982 13
835 982 16
825 982 14
807 982 10
18 982 22
4 982 15
840 982 12
8 982 5
838 982 17
814 982 23
836 982 18
830 982 6
832 982 9
20 982 2
1 983 1
18 983 23
842 983 22
8 983 5
832 983 9
4 983 16
839 983 8
13 983 11
815 983 7
828 983 20
838 983 14
841 983 21
830 983 6
835 983 17
825 983 15
807 983 10
20 983 2
822 983 3
817 983 4
840 983 12
826 983 19
154 983 13
814 983 24
836 983 18
830 984 6
839 984 8
832 984 9
836 984 18
840 984 12
18 984 23
814 984 24
8 984 5
807 984 10
4 984 16
825 984 14
841 984 21
838 984 15
154 984 13
20 984 2
835 984 17
826 984 19
842 984 22
1 984 1
817 984 4
13 984 11
822 984 3
828 984 20
815 984 7
835 985 17
828 985 20
822 985 3
826 985 19
807 985 11
1 985 1
8 985 5
841 985 21
20 985 2
825 985 14
4 985 16
815 985 7
154 985 13
832 985 9
830 985 6
13 985 10
839 985 8
836 985 18
18 985 24
842 985 22
817 985 4
840 985 12
843 985 23
838 985 15
814 985 25
840 986 10
842 986 22
1 986 1
841 986 21
830 986 6
839 986 8
815 986 7
20 986 2
826 986 19
8 986 5
18 986 24
4 986 16
825 986 14
843 986 23
835 986 17
832 986 9
828 986 20
807 986 12
13 986 11
154 986 13
817 986 4
814 986 25
838 986 15
822 986 3
836 986 18
832 987 9
826 987 19
817 987 4
815 987 7
20 987 2
822 987 3
13 987 10
828 987 20
1 987 1
842 987 21
839 987 8
18 987 24
838 987 16
840 987 11
4 987 15
835 987 17
825 987 14
830 987 6
154 987 13
836 987 18
8 987 5
841 987 22
814 987 25
843 987 23
807 987 12
154 988 13
835 988 17
822 988 3
843 988 23
20 988 2
840 988 12
814 988 25
817 988 5
836 988 18
830 988 6
825 988 14
826 988 19
807 988 10
828 988 20
4 988 15
832 988 9
841 988 22
8 988 4
838 988 16
18 988 24
839 988 8
815 988 7
13 988 11
842 988 21
1 988 1
